Timestamp;Memory;Disks;Flocks
0;15441920;75;75
1;15630336;83;110
2;15630336;73;95
3;15630336;70;88
4;15630336;70;110
5;15630336;69;103
6;15630336;66;85
7;15630336;45;55
8;15630336;26;32
9;15630336;20;28
10;15630336;13;17
11;15630336;11;14
12;15630336;10;10
13;15630336;4;5
14;15630336;1;1
15;15630336;0;0
16;15630336;0;0
17;15630336;0;0
18;15630336;1;1
19;15630336;3;3
20;15630336;4;4
21;15630336;1;1
22;15630336;1;1
23;15630336;1;2
24;15630336;0;0
25;15630336;3;3
26;15630336;3;3
27;15630336;0;0
28;15630336;0;0
29;15630336;2;2
30;15630336;0;0
31;15630336;2;2
32;15630336;7;7
33;15630336;8;9
34;15630336;7;8
35;15630336;6;9
36;15630336;2;3
37;15630336;5;6
38;15630336;5;5
39;15630336;4;6
40;15630336;3;3
41;15630336;4;4
42;15630336;6;7
43;15630336;4;6
44;15630336;4;6
45;15630336;3;3
46;15630336;2;2
47;15630336;0;0
48;15630336;0;0
49;15630336;1;1
50;15630336;1;1
51;15630336;0;0
52;15630336;0;0
53;15630336;2;2
54;15630336;1;1
55;15630336;0;0
56;15630336;1;1
57;15630336;2;2
58;15630336;0;0
59;15630336;0;0
60;15630336;0;0
61;15630336;1;1
62;15630336;1;1
63;15630336;0;0
64;15630336;1;1
65;15630336;0;0
66;15630336;2;2
67;15630336;2;2
68;15630336;1;1
69;15630336;0;0
70;15630336;3;3
71;15630336;1;1
72;15630336;2;2
73;15630336;3;3
74;15630336;3;3
75;15630336;1;1
76;15630336;1;1
77;15630336;3;3
78;15630336;2;3
79;15630336;2;2
80;15630336;2;2
81;15630336;3;3
82;15630336;6;7
83;15630336;2;2
84;15630336;2;2
85;15630336;1;1
86;15630336;2;2
87;15630336;4;5
88;15630336;4;4
89;15630336;1;1
90;15630336;2;2
91;15630336;2;2
92;15630336;1;1
93;15630336;0;0
94;15630336;0;0
95;15630336;0;0
96;15630336;0;0
97;15630336;0;0
98;15630336;0;0
99;15630336;0;0
100;15630336;0;0
